3,15,39
1,50,23
2,28,62
3,32,28
3,32,27
2,25,64
2,43,78
2,44,71
4,61,72
1,32,38
4,50,66
4,80,87
4,67,76
2,18,73
1,50,48
3,37,35
1,34,28
4,70,66
4,93,82
1,49,72
4,75,92
1,60,83
1,59,22
1,41,34
1,87,65
4,56,60
3,32,25
4,90,97
4,63,85
3,25,45
1,35,63
4,59,71
3,39,36
4,73,82
4,59,67
1,84,33
3,14,37
3,39,42
3,16,15
3,33,24
4,86,57
4,65,54
2,32,72
3,26,23
4,57,49
1,52,84
2,26,67
3,19,26
4,79,72
2,30,67
1,54,47
1,68,76
4,72,76
1,33,26
1,30,33
2,19,72
3,33,16
3,23,28
1,48,53
4,49,85
3,27,32
1,54,50
4,92,93
1,53,34
4,62,71
1,32,75
1,48,49
3,33,44
1,61,39
3,13,34
3,38,44
1,67,56
3,36,12
4,76,62
1,37,62
2,29,67
4,71,52
2,33,63
1,86,38
1,31,49
4,57,73
1,59,30
3,43,36
2,27,74
4,79,65
4,44,76
1,48,55
4,73,73
4,80,86
4,52,89
3,37,25
1,53,30
1,19,65
2,31,74
1,39,65
4,69,67
1,54,72
3,31,13
4,71,54
4,64,83
