4,96,18
3,40,40
3,16,41
2,25,62
3,16,25
2,27,55
3,48,27
2,18,85
3,49,25
2,21,95
3,19,25
3,52,24
3,12,25
4,87,18
2,24,49
2,15,85
1,36,56
1,50,84
3,32,25
2,3,86
3,52,26
3,92,28
3,39,25
2,5,85
1,26,59
2,53,65
1,35,84
2,23,72
1,43,36
1,23,75
1,12,19
2,47,62
3,11,16
1,25,84
3,65,29
3,12,22
3,28,52
1,23,90
3,8,85
3,62,18
2,21,47
1,54,84
3,79,28
3,55,26
3,13,37
3,86,18
1,83,92
4,70,1
3,37,43
3,55,22
4,68,11
1,43,59
3,42,25
3,88,28
1,48,84
3,12,26
3,72,28
1,63,77
2,35,25
3,55,22
2,13,31
1,87,98
1,61,80
3,45,33
1,66,70
4,30,52
1,38,84
1,41,84
4,65,30
3,9,26
1,66,74
3,26,25
1,39,57
1,35,46
1,52,65
1,66,60
3,35,55
2,38,25
3,59,19
1,87,97
4,67,22
1,65,44
1,79,88
3,65,16
4,29,25
3,11,6
3,70,6
2,23,85
2,49,26
1,71,79
2,26,58
3,23,88
3,22,25
2,24,68
4,65,40
3,36,25
1,74,83
1,66,67
2,46,30
2,75,85
