1,61,70
1,74,58
1,70,75
1,60,51
1,52,64
2,83,59
1,49,58
2,35,43
1,72,70
2,60,67
1,61,64
1,72,43
2,17,72
2,25,54
1,77,53
1,63,46
1,39,50
1,69,50
2,23,49
1,72,49
2,60,63
1,57,45
2,39,73
2,65,78
2,36,87
2,24,27
1,52,70
1,72,63
1,67,55
2,67,41
1,57,50
1,76,62
1,47,44
2,75,49
1,73,71
2,47,63
1,53,57
1,82,70
1,78,65
2,34,42
1,67,49
1,55,48
1,79,69
1,57,72
1,72,72
1,70,57
1,68,56
1,55,53
1,56,63
1,64,57
2,50,85
1,56,45
1,65,72
2,31,58
1,68,65
1,65,59
1,55,43
2,47,52
2,17,66
2,37,78
1,69,79
2,20,28
1,65,42
1,60,39
2,57,63
1,61,71
2,75,71
2,88,52
2,24,58
1,60,62
2,50,54
2,60,38
2,83,57
2,67,19
1,62,51
2,48,39
1,70,49
2,50,32
1,65,58
2,75,40
1,58,66
2,35,25
1,68,42
1,55,51
1,59,66
2,47,60
1,66,51
2,46,82
2,42,33
1,69,39
2,76,63
1,63,48
1,61,54
2,70,53
2,61,85
2,40,26
1,56,67
1,57,47
1,53,60
1,61,66
