LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,4,3,0,168,205,1
1,IMINT,2,4,0,188,198,1
1,IMINT,1,3,0,181,223,1
1,IMINT,3,3,0,159,220,1
1,IMINT,201,1,0,129,201,1
1,IMINT,3,2,0,90,70,2
1,IMINT,2,3,0,120,36,2
1,IMINT,1,4,1,58,76,2
1,IMINT,4,4,0,125,45,2
1,IMINT,6,2,0,212,57,3
1,IMINT,7,2,0,217,89,3
1,IMINT,4,2,0,236,46,3
1,IMINT,5,1,0,201,39,3
2,SIGINT,1,,1,186,210,1
2,SIGINT,1,,1,157,222,1
2,SIGINT,1,,1,181,202,1
2,SIGINT,1,,1,143,219,1
2,SIGINT,1,,1,161,187,1
2,SIGINT,1,,1,186,203,1
2,SIGINT,1,,1,141,227,1
2,SIGINT,1,,1,117,74,2
2,SIGINT,1,,1,86,41,2
2,SIGINT,1,,1,115,59,2
2,SIGINT,1,,1,112,47,2
3,MASINT,1,,1,230,53,3
3,MASINT,1,,1,236,56,3
3,MASINT,1,,1,201,47,3
3,MASINT,2,,1,205,79,3
3,MASINT,2,,1,221,79,3
3,MASINT,2,,1,211,39,3
3,MASINT,2,,1,201,88,3
