LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,3,3,0,144,80,1
1,IMINT,4,2,0,127,95,1
1,IMINT,2,3,0,155,72,1
1,IMINT,1,4,0,122,211,2
1,IMINT,5,4,0,139,201,2
1,IMINT,4,4,0,114,230,2
1,IMINT,7,4,0,105,216,2
1,IMINT,6,1,0,104,205,2
1,IMINT,6,4,1,238,234,3
1,IMINT,7,3,1,195,241,3
1,IMINT,4,3,1,240,197,3
2,SIGINT,1,,1,123,65,1
2,SIGINT,1,,1,136,70,1
2,SIGINT,1,,1,171,94,1
2,SIGINT,1,,1,134,50,1
2,SIGINT,1,,1,140,97,1
2,SIGINT,1,,1,158,83,1
2,SIGINT,1,,1,148,66,1
2,SIGINT,1,,1,120,202,2
2,SIGINT,1,,1,102,215,2
2,SIGINT,1,,1,150,206,2
2,SIGINT,1,,1,105,225,2
2,SIGINT,1,,1,116,199,2
2,SIGINT,1,,1,122,233,2
2,SIGINT,1,,1,97,189,2
3,MASINT,1,,1,144,95,1
3,MASINT,1,,1,146,86,1
3,MASINT,1,,1,118,87,1
3,MASINT,2,,1,122,218,2
3,MASINT,2,,1,115,208,2
3,MASINT,2,,1,141,189,2
3,MASINT,2,,1,238,220,3
3,MASINT,2,,1,228,215,3
3,MASINT,2,,1,213,225,3
