LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,1,2,0,219,79,1
1,IMINT,7,3,0,229,43,1
1,IMINT,2,1,0,177,83,1
1,IMINT,5,3,0,215,122,1
1,IMINT,6,4,1,199,46,1
1,IMINT,4,1,0,126,210,2
1,IMINT,1,1,0,146,179,2
1,IMINT,2,1,0,129,170,2
1,IMINT,5,4,1,162,197,2
1,IMINT,7,4,0,154,238,2
1,IMINT,3,4,0,88,225,2
1,IMINT,3,1,0,80,55,3
1,IMINT,1,3,0,73,79,3
1,IMINT,5,2,0,89,79,3
1,IMINT,7,3,0,98,50,3
1,IMINT,6,2,0,72,39,3
1,IMINT,2,1,0,55,61,3
1,IMINT,4,3,0,84,37,3
2,SIGINT,1,,1,189,77,1
2,SIGINT,1,,1,213,78,1
2,SIGINT,1,,1,220,83,1
2,SIGINT,1,,1,207,65,1
2,SIGINT,1,,1,213,54,1
2,SIGINT,1,,1,82,71,3
2,SIGINT,1,,1,91,46,3
2,SIGINT,1,,1,72,48,3
2,SIGINT,1,,1,97,61,3
2,SIGINT,1,,1,66,40,3
2,SIGINT,1,,1,69,76,3
2,SIGINT,1,,1,50,48,3
2,SIGINT,1,,1,70,54,3
3,MASINT,1,,1,151,209,2
3,MASINT,1,,1,150,192,2
3,MASINT,1,,1,138,182,2
3,MASINT,1,,1,133,188,2
3,MASINT,1,,1,148,234,2
3,MASINT,1,,1,149,208,2
3,MASINT,1,,1,131,199,2
3,MASINT,2,,1,131,203,2
3,MASINT,2,,1,160,194,2
3,MASINT,2,,1,130,194,2
3,MASINT,2,,1,125,198,2
3,MASINT,2,,1,140,208,2
3,MASINT,2,,1,139,219,2
