site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,probs_Ppc_time,probs_Ppc_1,probs_Ppc_normative_1,probs_Pt_time,probs_Pt_1,probs_Pt_normative_1,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,001,Human_Single,Sample-Exam-1,1,1,143801.0,1,1.0,0.11936008179624569,5,0,0.8,41371.0,0.7,0.8,20171.0,0.8,0.8,16271.0,0.6,0.3333333333333333,17503.0,0.7,0.6666666666666665,NaN,Do_Not_Divert,-2.66447942742628,Divert,-0.30000000000000004,Divert,-0.3333333333333335
PSU,001,Human_Single,Sample-Exam-1,1,2,162319.0,1,1.0,0.16330383067108623,5,1,0.8,41465.0,0.6,0.8,17425.0,0.7,0.8,21794.0,0.75,0.7499999999999999,32635.0,0.7,0.923076923076923,NaN,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.07692307692307698
PSU,001,Human_Single,Sample-Exam-1,1,3,113911.0,1,0.4,0.14276261550754787,2,0,0.6,18704.0,0.2,0.6,12823.0,0.4,0.24,13650.0,0.4,0.3333333333333333,16879.0,0.4,0.13636363636363635,NaN,Do_Not_Divert,-0.5715798151879234,Do_Not_Divert,-0.5715798151879234,Do_Not_Divert,-0.19485675517770115
PSU,001,Human_Single,Sample-Exam-1,1,4,110230.0,1,0.4,0.11861665779644381,2,0,0.6,26629.0,0.2,0.6,30232.0,0.4,0.24,14820.0,0.4,0.3333333333333333,10951.0,0.3,0.13636363636363635,NaN,Do_Not_Divert,-0.4576600106442674,Do_Not_Divert,-0.4576600106442674,Do_Not_Divert,-0.2080272775655761
PSU,001,Human_Single,Sample-Exam-1,1,5,138388.0,1,0.4,0.14059513952817182,3,0,0.6,28611.0,0.5,0.6,8096.0,0.4,0.24,26925.0,0.5,0.3333333333333333,16646.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-1.0782145814154847,Divert,-0.5,Do_Not_Divert,-0.29405852220422307
PSU,001,Human_Single,Sample-Exam-1,1,6,118388.0,1,0.7,0.2199268518374785,5,1,0.8,30747.0,0.65,0.8,10499.0,0.71,0.5599999999999999,19234.0,0.8,0.7499999999999999,16349.0,0.8,0.7924528301886792,NaN,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.20754716981132082
PSU,001,Human_Single,Sample-Exam-1,1,7,109372.0,1,0.4,0.20731014083602806,3,0,0.6,18314.0,0.5,0.6,13463.0,0.55,0.24,16770.0,0.5,0.3333333333333333,33306.0,0.7,0.13636363636363635,NaN,Do_Not_Divert,-1.229297408488682,Divert,-0.30000000000000004,Do_Not_Divert,-0.23947352113415885
PSU,001,Human_Single,Sample-Exam-1,1,8,108717.0,1,0.7,0.2820442849216881,3,1,0.2,12448.0,0.4,0.2,39406.0,0.6,0.13999999999999999,7550.0,0.75,0.7499999999999999,20202.0,0.78,0.32812499999999983,NaN,Do_Not_Divert,-1.0200327465664998,Divert,-0.21999999999999997,Do_Not_Divert,-0.42910031406042637
PSU,001,Human_Single,Sample-Exam-1,1,9,118638.0,1,0.9,0.22068185914010596,3,0,0.6,23696.0,0.2,0.6,13182.0,0.65,0.54,13806.0,0.45,0.3333333333333333,29859.0,0.5,0.3698630136986301,NaN,Do_Not_Divert,-0.8379544225796821,Divert,-0.5,Do_Not_Divert,-0.6198566961548333
PSU,001,Human_Single,Sample-Exam-1,1,10,91244.0,1,1.0,0.3162001027225234,4,0,0.4,24851.0,0.2,0.4,15148.0,0.6,0.4,7020.0,0.6,0.3333333333333333,16598.0,0.6,0.25,NaN,Do_Not_Divert,-0.8822395069318876,Divert,-0.4,Do_Not_Divert,-0.3675997945549532
