LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,1,1,0,88,89,1
1,IMINT,7,4,1,107,74,1
1,IMINT,2,2,0,96,111,1
1,IMINT,6,4,1,83,104,1
1,IMINT,4,1,1,88,70,1
1,IMINT,5,3,0,107,234,2
1,IMINT,6,3,0,121,240,2
1,IMINT,7,4,1,93,244,2
1,IMINT,2,2,0,116,250,2
1,IMINT,1,1,1,98,212,2
1,IMINT,4,2,1,87,223,2
1,IMINT,201,2,0,123,269,2
1,IMINT,4,4,0,220,82,3
1,IMINT,1,4,0,229,100,3
1,IMINT,7,2,0,237,65,3
1,IMINT,3,3,0,209,67,3
1,IMINT,2,3,1,202,90,3
2,SIGINT,1,,1,100,116,1
2,SIGINT,1,,1,61,96,1
2,SIGINT,1,,1,71,75,1
2,SIGINT,1,,1,106,59,1
2,SIGINT,1,,1,80,118,1
2,SIGINT,1,,1,71,67,1
2,SIGINT,1,,1,103,236,2
2,SIGINT,1,,1,130,228,2
2,SIGINT,1,,1,139,244,2
2,SIGINT,1,,1,99,249,2
2,SIGINT,1,,1,97,234,2
2,SIGINT,1,,1,128,248,2
2,SIGINT,1,,1,94,238,2
2,SIGINT,1,,1,103,228,2
2,SIGINT,1,,1,227,75,3
2,SIGINT,1,,1,216,96,3
2,SIGINT,1,,1,238,77,3
2,SIGINT,1,,1,244,90,3
2,SIGINT,1,,1,241,83,3
2,SIGINT,1,,1,213,101,3
2,SIGINT,1,,1,244,86,3
3,MASINT,2,,1,80,96,1
3,MASINT,2,,1,105,96,1
3,MASINT,2,,1,104,82,1
3,MASINT,2,,1,129,215,2
3,MASINT,2,,1,104,232,2
3,MASINT,2,,1,113,230,2
