LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,6,2,0,220,117,1
1,IMINT,1,2,0,237,123,1
1,IMINT,7,1,0,209,135,1
1,IMINT,4,3,0,203,104,1
1,IMINT,5,2,0,237,116,1
1,IMINT,202,4,0,229,77,1
1,IMINT,1,1,0,59,235,2
1,IMINT,4,4,0,24,240,2
1,IMINT,3,4,1,18,224,2
1,IMINT,2,3,0,78,271,2
1,IMINT,6,1,0,25,216,2
2,SIGINT,1,,1,30,238,2
2,SIGINT,1,,1,36,267,2
2,SIGINT,1,,1,29,247,2
2,SIGINT,1,,1,35,226,2
2,SIGINT,1,,1,38,251,2
2,SIGINT,1,,1,55,246,2
3,MASINT,1,,1,237,95,1
3,MASINT,1,,1,239,115,1
3,MASINT,1,,1,217,112,1
3,MASINT,1,,1,211,95,1
3,MASINT,1,,1,229,137,1
3,MASINT,1,,1,242,111,1
3,MASINT,1,,1,49,244,2
3,MASINT,1,,1,42,240,2
3,MASINT,1,,1,33,227,2
3,MASINT,1,,1,48,216,2
