LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,4,1,0,91,66,1
1,IMINT,1,2,0,91,96,1
1,IMINT,3,3,0,81,35,1
1,IMINT,2,2,1,107,91,1
1,IMINT,202,4,0,116,66,1
1,IMINT,1,4,0,215,78,2
1,IMINT,2,3,0,208,99,2
1,IMINT,4,1,0,231,84,2
1,IMINT,3,2,0,225,99,2
1,IMINT,2,1,1,97,225,3
1,IMINT,5,1,1,87,202,3
1,IMINT,7,2,0,129,219,3
1,IMINT,1,4,1,118,201,3
1,IMINT,4,3,1,104,253,3
1,IMINT,3,1,1,72,223,3
1,IMINT,6,3,0,94,198,3
1,IMINT,202,2,0,86,234,3
1,IMINT,3,1,0,231,208,4
1,IMINT,4,4,0,229,191,4
1,IMINT,1,2,0,254,212,4
1,IMINT,2,2,0,228,231,4
2,SIGINT,1,,1,80,48,1
2,SIGINT,1,,1,75,81,1
2,SIGINT,1,,1,82,85,1
2,SIGINT,1,,1,98,59,1
2,SIGINT,1,,1,81,61,1
2,SIGINT,1,,1,69,78,1
2,SIGINT,1,,1,237,74,2
2,SIGINT,1,,1,220,105,2
2,SIGINT,1,,1,221,81,2
2,SIGINT,1,,1,237,117,2
2,SIGINT,1,,1,218,97,2
2,SIGINT,1,,1,222,75,2
2,SIGINT,1,,1,214,86,2
2,SIGINT,1,,1,205,91,2
2,SIGINT,1,,1,263,221,4
2,SIGINT,1,,1,251,197,4
2,SIGINT,1,,1,238,221,4
2,SIGINT,1,,1,224,215,4
2,SIGINT,1,,1,269,202,4
2,SIGINT,1,,1,233,218,4
3,MASINT,1,,1,125,235,3
3,MASINT,1,,1,112,224,3
3,MASINT,1,,1,77,239,3
3,MASINT,1,,1,87,217,3
3,MASINT,1,,1,77,219,3
3,MASINT,1,,1,100,234,3
3,MASINT,1,,1,125,241,3
3,MASINT,2,,1,111,218,3
3,MASINT,2,,1,111,217,3
3,MASINT,2,,1,121,221,3
3,MASINT,2,,1,104,205,3
3,MASINT,2,,1,95,212,3
3,MASINT,2,,1,96,219,3
3,MASINT,1,,1,241,201,4
3,MASINT,1,,1,215,222,4
3,MASINT,1,,1,229,204,4
