LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,4,4,0,56,103,1
1,IMINT,7,3,0,86,114,1
1,IMINT,5,2,0,46,79,1
1,IMINT,2,2,0,27,107,1
1,IMINT,6,2,0,48,130,1
1,IMINT,201,4,0,18,134,1
1,IMINT,6,4,1,194,221,2
1,IMINT,2,1,0,166,207,2
1,IMINT,5,2,0,188,254,2
1,IMINT,4,1,0,216,238,2
1,IMINT,7,1,0,164,240,2
3,MASINT,1,,1,48,109,1
3,MASINT,1,,1,39,135,1
3,MASINT,1,,1,45,119,1
3,MASINT,2,,1,69,100,1
3,MASINT,2,,1,44,135,1
3,MASINT,2,,1,40,111,1
3,MASINT,2,,1,39,116,1
3,MASINT,2,,1,48,101,1
3,MASINT,2,,1,55,135,1
3,MASINT,2,,1,65,122,1
3,MASINT,2,,1,181,238,2
3,MASINT,2,,1,211,243,2
3,MASINT,2,,1,184,246,2
