LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,2,1,1,231,119,1
1,IMINT,7,4,0,234,86,1
1,IMINT,6,3,0,257,108,1
1,IMINT,5,3,0,262,138,1
1,IMINT,4,3,0,262,117,1
1,IMINT,3,4,0,250,98,1
1,IMINT,4,4,0,56,159,2
1,IMINT,7,1,0,62,122,2
1,IMINT,5,4,0,21,151,2
1,IMINT,6,2,1,28,184,2
1,IMINT,2,3,0,42,200,2
2,SIGINT,1,,1,218,107,1
2,SIGINT,1,,1,236,105,1
2,SIGINT,1,,1,234,117,1
2,SIGINT,1,,1,252,116,1
3,MASINT,1,,1,219,105,1
3,MASINT,1,,1,226,96,1
3,MASINT,1,,1,252,109,1
3,MASINT,1,,1,276,121,1
3,MASINT,1,,1,260,115,1
3,MASINT,1,,1,274,104,1
3,MASINT,1,,1,273,121,1
3,MASINT,2,,1,240,138,1
3,MASINT,2,,1,248,123,1
3,MASINT,2,,1,262,132,1
3,MASINT,2,,1,239,111,1
3,MASINT,2,,1,262,91,1
3,MASINT,2,,1,232,113,1
3,MASINT,2,,1,233,110,1
3,MASINT,1,,1,35,163,2
3,MASINT,1,,1,45,161,2
3,MASINT,1,,1,44,163,2
3,MASINT,1,,1,76,157,2
3,MASINT,1,,1,19,140,2
3,MASINT,1,,1,54,152,2
