LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,6,1,0,58,184,1
1,IMINT,2,3,1,42,172,1
1,IMINT,1,1,0,72,193,1
1,IMINT,3,2,0,76,173,1
1,IMINT,4,3,0,58,205,1
1,IMINT,2,3,0,216,216,2
1,IMINT,1,2,0,240,235,2
1,IMINT,3,3,0,197,196,2
1,IMINT,7,3,0,186,226,2
2,SIGINT,1,,1,229,213,2
2,SIGINT,1,,1,192,219,2
2,SIGINT,1,,1,219,236,2
2,SIGINT,1,,1,218,211,2
2,SIGINT,1,,1,207,212,2
2,SIGINT,1,,1,211,246,2
2,SIGINT,1,,1,231,213,2
3,MASINT,2,,1,204,223,2
3,MASINT,2,,1,226,233,2
3,MASINT,2,,1,208,214,2
