LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,2,4,0,92,73,1
1,IMINT,7,3,0,109,66,1
1,IMINT,3,3,0,74,76,1
1,IMINT,1,4,0,86,91,1
1,IMINT,4,2,0,77,60,1
1,IMINT,1,1,0,216,65,2
1,IMINT,7,2,1,244,80,2
1,IMINT,2,4,1,225,94,2
1,IMINT,3,3,1,197,42,2
1,IMINT,4,2,0,69,225,3
1,IMINT,6,3,0,31,217,3
1,IMINT,3,1,0,103,248,3
1,IMINT,7,4,0,91,190,3
1,IMINT,1,1,1,45,261,3
1,IMINT,2,1,0,107,209,3
1,IMINT,201,3,0,71,206,3
1,IMINT,4,3,1,219,209,4
1,IMINT,6,1,0,199,204,4
1,IMINT,1,3,0,223,193,4
1,IMINT,5,4,0,243,215,4
1,IMINT,202,4,0,195,215,4
2,SIGINT,1,,1,97,59,1
2,SIGINT,1,,1,111,84,1
2,SIGINT,1,,1,107,74,1
2,SIGINT,1,,1,92,89,1
2,SIGINT,1,,1,100,75,1
2,SIGINT,1,,1,84,76,1
2,SIGINT,1,,1,115,94,1
2,SIGINT,1,,1,214,53,2
2,SIGINT,1,,1,235,76,2
2,SIGINT,1,,1,211,101,2
2,SIGINT,1,,1,247,65,2
2,SIGINT,1,,1,235,66,2
2,SIGINT,1,,1,237,98,2
2,SIGINT,1,,1,190,57,2
2,SIGINT,1,,1,91,237,3
2,SIGINT,1,,1,86,223,3
2,SIGINT,1,,1,93,239,3
2,SIGINT,1,,1,80,216,3
2,SIGINT,1,,1,72,220,3
2,SIGINT,1,,1,94,219,3
2,SIGINT,1,,1,65,228,3
2,SIGINT,1,,1,65,195,3
2,SIGINT,1,,1,87,198,3
3,MASINT,1,,1,86,75,1
3,MASINT,1,,1,76,83,1
3,MASINT,1,,1,103,66,1
3,MASINT,2,,1,66,205,3
3,MASINT,2,,1,66,227,3
3,MASINT,2,,1,87,229,3
3,MASINT,2,,1,235,189,4
3,MASINT,2,,1,200,207,4
3,MASINT,2,,1,218,224,4
3,MASINT,2,,1,219,202,4
