LayerID,LayerType,ObjectID,ObjectOrientation,Data,X,Y,Sector
1,IMINT,6,4,1,87,89,1
1,IMINT,1,4,1,62,70,1
1,IMINT,3,3,0,111,105,1
1,IMINT,5,3,1,115,88,1
1,IMINT,2,3,0,56,90,1
1,IMINT,201,2,0,123,87,1
1,IMINT,5,3,0,217,99,2
1,IMINT,3,2,0,194,125,2
1,IMINT,6,3,0,227,73,2
1,IMINT,1,1,1,243,107,2
1,IMINT,7,4,0,242,85,2
1,IMINT,4,3,0,183,94,2
1,IMINT,6,2,0,85,235,3
1,IMINT,4,2,0,46,219,3
1,IMINT,2,4,0,115,260,3
1,IMINT,5,3,0,123,246,3
1,IMINT,3,4,0,41,238,3
1,IMINT,202,2,0,42,249,3
1,IMINT,3,1,1,234,231,4
1,IMINT,2,4,0,265,256,4
1,IMINT,6,3,0,210,270,4
1,IMINT,4,4,0,240,271,4
1,IMINT,7,4,0,212,200,4
3,MASINT,2,,1,204,91,2
3,MASINT,2,,1,220,98,2
3,MASINT,2,,1,231,98,2
3,MASINT,2,,1,213,90,2
3,MASINT,2,,1,227,110,2
3,MASINT,2,,1,208,98,2
3,MASINT,2,,1,207,84,2
3,MASINT,1,,1,72,236,3
3,MASINT,1,,1,93,239,3
3,MASINT,1,,1,59,236,3
3,MASINT,1,,1,69,224,3
3,MASINT,1,,1,84,219,3
3,MASINT,1,,1,73,254,3
3,MASINT,2,,1,237,243,4
3,MASINT,2,,1,242,232,4
3,MASINT,2,,1,231,250,4
