1,18,61
1,24,57
1,54,13
2,37,27
1,29,49
1,84,50
1,53,42
1,50,34
2,32,29
1,28,31
1,56,56
1,59,41
2,17,28
1,13,36
1,36,71
2,24,23
2,46,42
2,46,25
1,65,28
1,86,45
1,52,58
2,36,21
1,40,58
2,33,23
1,52,48
1,51,67
1,47,46
1,58,18
2,35,37
2,18,38
2,42,38
2,42,44
2,32,25
1,70,76
1,33,32
2,33,40
1,43,52
2,49,35
2,22,37
1,25,54
2,29,28
1,67,32
1,66,56
2,35,31
1,73,53
2,37,28
2,45,24
1,58,36
1,33,39
2,38,37
1,48,40
1,17,67
1,38,71
1,41,33
1,30,21
1,84,30
2,27,49
1,42,44
1,41,11
1,43,55
2,16,23
2,41,18
1,54,77
1,38,25
2,28,21
1,44,47
1,42,78
1,33,76
1,38,38
1,53,61
1,77,25
1,19,66
1,77,66
1,62,65
2,34,49
2,31,52
1,74,43
1,87,36
1,85,42
1,60,28
2,24,18
1,11,48
1,48,45
1,56,46
1,44,46
1,40,43
1,17,29
2,43,32
1,86,68
2,39,39
1,27,61
1,66,50
2,46,30
1,59,51
1,67,65
2,12,14
1,61,26
2,24,45
1,47,47
1,37,31
