4,47,79
4,79,78
4,77,97
3,71,61
1,52,19
3,15,27
2,40,76
3,47,31
4,24,86
2,45,63
4,71,83
4,78,83
4,74,83
4,66,38
1,51,17
3,21,27
2,49,50
3,20,27
4,47,52
3,8,27
2,46,61
2,90,12
4,98,86
4,76,56
3,56,42
4,72,83
4,53,79
4,77,83
3,34,28
3,58,43
2,32,81
3,24,27
4,57,80
1,50,12
3,41,30
4,56,40
4,75,83
3,28,28
4,35,80
3,56,49
1,79,64
4,73,83
4,44,79
3,18,27
4,37,78
3,8,27
1,53,46
1,70,45
2,46,63
2,43,69
4,71,46
4,95,86
4,56,79
3,9,27
3,33,28
3,56,50
2,31,79
4,50,79
3,56,44
4,34,79
2,43,71
2,56,39
1,56,24
3,25,27
4,40,79
3,23,27
2,46,53
2,76,83
1,53,3
4,79,80
4,37,79
4,59,80
3,16,27
4,78,60
4,60,80
3,48,51
4,79,79
4,79,68
3,56,48
3,46,54
2,23,87
1,59,29
3,44,31
2,46,55
2,45,64
4,79,83
1,68,42
2,61,42
4,61,80
2,45,65
3,63,42
3,22,27
4,61,31
3,49,31
4,52,79
2,13,92
4,51,79
3,63,59
3,19,27
2,43,31
