3,91,78
3,85,46
3,65,98
1,54,35
3,82,54
4,67,21
1,69,14
1,48,86
3,70,69
1,43,74
2,24,17
3,88,35
2,22,27
4,69,31
4,63,6
3,81,59
3,84,76
3,90,75
3,98,78
4,49,38
3,68,76
3,61,94
2,23,22
1,50,65
3,72,81
4,77,34
1,28,65
2,30,24
4,90,46
2,29,10
4,76,19
3,77,99
1,74,29
4,59,23
4,85,13
2,22,34
4,56,20
1,69,37
4,56,30
4,82,22
4,93,38
3,81,55
3,36,91
4,89,33
4,88,45
3,98,98
4,78,44
2,23,19
3,58,53
4,61,19
1,22,42
4,58,19
4,76,12
3,44,47
4,76,25
2,28,16
3,76,56
4,76,52
4,84,43
2,22,23
3,64,95
3,80,98
4,67,58
2,21,25
4,53,14
2,33,31
1,45,55
2,36,28
4,63,21
2,28,23
2,18,20
2,20,25
4,80,50
4,93,15
3,97,70
4,89,23
1,46,55
3,54,94
4,55,48
3,63,75
4,81,50
4,96,41
4,88,19
4,56,25
3,84,69
4,74,19
2,26,22
4,56,1
3,88,70
3,86,63
4,61,55
1,65,63
2,19,29
4,87,51
2,28,24
2,32,29
2,18,27
2,30,35
2,20,22
3,53,92
